"latitude","longitude","code","interview_year","interview_month"
30.76929,30.98839,"EG-4-2-2120202",2003,5
30.13108,31.31186,"EG-4-2-110112",2003,6
27.30827,30.96397,"EG-4-2-3861108",2003,5
27.61841,30.84337,"EG-4-2-3840204",2003,5
27.54442,30.80145,"EG-4-2-3851102",2003,5
30.14968,31.2838,"EG-4-2-1850804",2003,5
31.0801,31.60074,"EG-4-2-1270109",2003,5
30.1755744943,31.1142474548,"EG-4-2-3100102",2003,5
29.40127,30.92751,"EG-4-2-3460202",2003,6
30.88162,31.29191,"EG-4-2-1390403",2003,6
31.27398,30.80386,"EG-4-2-1990101",2003,6
30.13962,31.24516,"EG-4-2-1711304",2003,5
30.06562,31.2625,"EG-4-2-220104",2003,6
0,0,"EG-4-2-5421002",2003,5
31.22396,29.96078,"EG-4-2-510407",2003,5
31.24811,29.97596,"EG-4-2-490705",2003,5
29.14987,30.76414,"EG-4-2-3590101",2003,6
30.58591,31.50457,"EG-4-2-1440107",2003,5
31.23567,29.99372,"EG-4-2-412205",2003,6
30.97888,31.16458,"EG-4-2-2090216",2003,6
24.97429,32.85892,"EG-4-2-4520903",2003,5
26.77083,31.53125,"EG-4-2-4140409",2003,6
30.6602,32.27834,"EG-4-2-2870601",2003,6
30.10809,32.56872,"EG-4-2-890104",2003,6
0,0,"EG-4-2-5520204",2003,5
30.57908,31.41188,"EG-4-2-1640104",2003,5
31.24535706,32.28374673,"EG-4-2-820204",2003,6
30.80483,30.98139,"EG-4-2-2130901",2003,5
31.25617,32.28417,"EG-4-2-721302",2003,6
30.60904,32.22219,"EG-4-2-2820804",2003,6
30.7624,31.34543,"EG-4-2-1400508",2003,5
30.12594,31.24671,"EG-4-2-1723505",2003,5
29.96597,31.25728,"EG-4-2-331103",2003,5
30.43454,31.17806,"EG-4-2-1680511",2003,5
30.09876,31.27589,"EG-4-2-151201",2003,6
28.49062,30.79792,"EG-4-2-3610203",2003,6
29.72755,32.38324,"EG-4-2-990103",2003,6
30.58224,31.6287,"EG-4-2-1610104",2003,5
30.54257,31.26483,"EG-4-2-1670409",2003,5
27.07948,31.34012,"EG-4-2-3900103",2003,5
31.33938,31.7092,"EG-4-2-1030603",2003,6
24.97758,32.86727,"EG-4-2-4520302",2003,5
29.90576,31.30185,"EG-4-2-380502",2003,5
0,0,"EG-4-2-5430206",2003,5
29.48252,30.95694,"EG-4-2-3420205",2003,6
30.26717,31.08506,"EG-4-2-2520202",2003,6
29.98652,32.5306,"EG-4-2-860905",2003,6
31.02529,31.38845,"EG-4-2-1190602",2003,6
30.2115,31.14384,"EG-4-2-1690509",2003,6
30.85391,31.27466,"EG-4-2-1390103",2003,5
